,nct_id,study_type,acronym,baseline_population,brief_title,official_title,overall_status
215,NCT04450147,Interventional,,,Tai Chi/Qigong for Subsyndromal Depression and Cognition in Older Age Bipolar Disorder,Efficacy of Tai Chi/Qigong for Subsyndromal Depression and Cognition in Older Age Bipolar Disorder: A Pilot Randomized Controlled Trial With an Active Control,Recruiting
216,NCT04436497,Interventional,,,HEALEY ALS Platform Trial - Regimen A Zilucoplan,HEALEY ALS Platform Trial - Regimen A Zilucoplan,Not yet recruiting
217,NCT04450121,Interventional,,,Comparison Between Fekry and Air-Q Intubating Airways as Conduit for Fibreoptic Endotracheal Intubation in Adult Patients,Comparison Between Fekry and Air-Q Intubating Airways as Conduit for Fibreoptic Endotracheal Intubation in Adult Patients,Completed
218,NCT04450108,Interventional,,,Vivatmo Pro™ for Fractional Exhaled Nitric Oxide (FeNO) Monitoring in U.S. Asthmatic Patients,Clinical Study of the Vivatmo Pro™ for Fractional Exhaled Nitric Oxide (FeNO) Monitoring in U.S. Asthmatic Patients Responding to Inhaled Corticosteroid (ICS) Treatment,Not yet recruiting
219,NCT04450095,Interventional,,,Effects of Endothelin Receptor Antagonist on Ischemic Kidney Injury During Nephron Sparing Surgery,"Effects of Endothelin Receptor Antagonist on Ischemic Kidney Injury During Nephron Sparing Surgery for Renal Mass Excision: Assessment by Ischemia Biomarkers, NGAL, KIM-1","Active, not recruiting"
220,NCT04450082,Observational,,,One Anastomosis Gastric Bypass After Sleeve Gastrectomy Failure,One Anastomosis Gastric Bypass After Sleeve Gastrectomy Failure: Does a Single Procedure Fit for All?,Completed
221,NCT04450069,Interventional,,,CLBR001 and SWI019 in Patients With Relapsed / Refractory B-cell Malignancies,"A Phase 1, Open-label, Dose Escalating Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Clinical Activity of the Combination of CLBR001 and SWI019 in Patients With Relapsed/Refractory B-cell Malignancies",Not yet recruiting
222,NCT04450056,Observational,,,Assessing Changes in Breastmilk Composition Over Time Among Pakistani Infants,Assessing Changes in Breastmilk Composition Over Time Among Pakistani Infants,Not yet recruiting
223,NCT04450043,Interventional,,,Transitions Project,The Transitions Project: Supporting Adults During the Shift From Cancer Treatment to Surveillance,Not yet recruiting
224,NCT04450030,Observational,INCIDENT-MS,,Immunoadsorption Versus High-dose Intravenous Corticosteroids in Relapsing Multiple Sclerosis,Immunoadsorption Versus High-dose Intravenous Corticosteroids in Relapsing Multiple Sclerosis - Assessment of Mechanism of Action,Recruiting
225,NCT04450017,Observational,,,Clinical Features of Severe Patients With COVID-19,Clinical Features of Severe Patients With COVID-19,Recruiting
226,NCT04450004,Interventional,,,"Safety, Tolerability and Immunogenicinity of a Coronavirus-Like Particle COVID-19 Vaccine in Adults Aged 18-55 Years.","A Randomized, Partially-Blinded, Dose-Ranging Phase 1 Study to Assess the Safety, Tolerability, and Immunogenicity of a Recombinant Coronavirus-Like Particle COVID 19 Vaccine in Adults 18-55 Years of Age",Not yet recruiting
227,NCT04449991,Interventional,REBIOLUP,,Per-protocol Repeat Kidney Biopsy in Incident Cases of Lupus Nephritis,Per-protocol Repeat Kidney Biopsy in Incident Cases of Lupus Nephritis,Not yet recruiting
228,NCT00004380,Interventional,,,Phase II Study of Recombinant Relaxin for Progressive Systemic Sclerosis,,Completed
229,NCT04449978,Observational,,,TARGet Kids! COVID-19 Study of Children and Families,TARGet Kids! COVID-19 Study of Children and Families,Recruiting
230,NCT04449965,Interventional,,,Povidone-Iodine Rinses in the Management of COVID-19,The Efficacy of Topical Povidone-Iodine Rinses in the Management of the Coronavirus Disease 2019 (COVID-19),Not yet recruiting
231,NCT04449952,Interventional,,,A Study of Mouth Rinses in Type 1 and Type 2 Diabetic Participants,"Safety and Clinical Efficacy of Mouth Rinses in Type 1 and Type 2 Diabetics: Effect on Oral Soft Tissue, Plaque and Gingivitis",Completed
232,NCT04449939,Interventional,,,A Study of Subcutaneous KY1005 in Healthy Volunteers,"A Phase I, Open-label Study to Assess the Pharmacokinetics of KY1005 After Single Dose Administration by Subcutaneous and Intravenous Route in Healthy Volunteers",Not yet recruiting
233,NCT04449926,Interventional,,,BCG and Plasma Amyloid in Non-Demented Adults,BCG and Plasma Amyloid in Non-Demented Adults,Not yet recruiting
234,NCT04449913,Interventional,LONGIMED,,Changes in Perception and Cognition During a Meditation Retreat,Study of the Longitudinal Changes in Perception and Cognition Occurring During a Meditation Retreat,Not yet recruiting
235,NCT04449900,Observational,,,Quantitative Evaluation of Parafoveal Microvasculature Changes in Eyes With Exudative Circumscribed Choroidal Haemangioma: An Optical Coherence Tomography Angiography Study,Quantitative Evaluation of Parafoveal Microvasculature Changes in Eyes With Exudative Circumscribed Choroidal Haemangioma: An Optical Coherence Tomography Angiography Study,Completed
236,NCT04449887,Interventional,,,The Role of Intestinal Flora in the Pathogenesis of FD and the Intervention of Xiangsha Liujunzi,The Role of Intestinal Flora in the Pathogenesis of FD and the Intervention of Xiangsha Liujunzi,Recruiting
237,NCT04449874,Interventional,,,"A Study to Evaluate the Safety, Pharmacokinetics, and Activity of GDC-6036 in Patients With Advanced or Metastatic Solid Tumors With a KRAS G12C Mutation","A Phase I Dose-Escalation and Dose-Expansion Study Evaluating the Safety, Pharmacokinetics, and Activity of GDC-6036 in Patients With Advanced or Metastatic Solid Tumors With a KRAS G12C Mutation",Not yet recruiting
238,NCT04449861,Interventional,,,Durvalumab Plus Chemotherapy in ES-SCLC (Oriental),"An Open Label, Multicenter Study of First-Line Durvalumab Plus Platinum-Based Chemotherapy in Chinese Patients With Extensive Stage Small-Cell Lung Cancer (Oriental)",Not yet recruiting
239,NCT04449848,Interventional,,,The Effect of Patient's Position After Intra-tympanic Injection on the Amount of Fluid in the Middle Ear,The Effect of Patient's Position After Intra-tympanic Injection on the Amount of Fluid in the Middle Ear,Not yet recruiting
240,NCT04449835,Observational [Patient Registry],TIGR,,The Intracept Global Registry,The Intracept Global Registry,Not yet recruiting
241,NCT04449822,Interventional,,,Emergency Surgery Versus Colorectal Stents for the Management of Malignant Colonic Obstructions,Emergency Surgery Versus Colorectal Stents for the Management of Malignant Colonic Obstructions: a Prospective Cohort Study,Recruiting
242,NCT04449809,Interventional,EXERT-BC,,"Exercise Regimen Designed to Improve Functional Mobility, Body Composition, and Strength After Breast Conservation Therapy for Women With Early Stage Breast Cancer","Pilot Study of the Feasibility of an Exercise Regimen Designed to Improve Functional Mobility, Body Composition, and Strength After Breast Conservation Therapy for Women With Early Stage Breast Cancer",Not yet recruiting
243,NCT04449796,Observational [Patient Registry],,,Predictive Value of Bio-impedance Vector Analysis on Long-term Outcome in ICU Patients,Predictive Value of Bio-impedance Vector Analysis on Long-term Outcome in ICU Patients,Completed
244,NCT04449783,Observational,CHICANE,,Preoperative Shielding and N/T RT-PCR Swabbing for Elective Cancer Surgery,A Cohort Study to Assess the Effectiveness of Preoperative Shielding and N/T RT-PCR Swabbing for Elective Cancer Surgery Patients in the COVID-19 Pandemic,Not yet recruiting
245,NCT04449770,Observational,,,Height-based Formula for Predicting the Insertion Depth of Left-sided Double and the Role of Fiberoptic Bronchoscopy,A Study on the Use of an Established Novel Height-based Formula for Predicting the Insertion Depth of Left-sided Double and the Role of Fiberoptic Bronchoscopy,Not yet recruiting
246,NCT04449757,Interventional,,,Bicarbonated Ringer's Solution Versus Lactated Ringer's Solution in Patients With Septic Shock,Fluid Resuscitation Management for Patients With Septic Shock: the Efficacy and Safety Comparison Between Bicarbonated Ringer's Solution and Lactated Ringer's Solution,Not yet recruiting
247,NCT04449744,Interventional,,,Evaluating Adaptive Dispenser Initiation Protocols for MySafeRx During Post-detox Buprenorphine Treatment- a Pilot Study,Effects of Remote Motivational Enhancement & MySafeRx on Post-Detox Engagement and Retention in Buprenorphine Treatment (MySafeRx) - A Pilot Study,Not yet recruiting
248,NCT04449731,Observational,COVIDiet_Int,,Changes in Dietary Behaviours During the COVID-19 Outbreak Confinement in the Adult Population (COVIDiet_Int),Changes in Dietary Behaviours During the COVID-19 Outbreak Confinement in the Adult Population,Recruiting
249,NCT04449718,Interventional,,,Vitamin D Supplementation in Patients With COVID-19,"Vitamin D Supplementation in Patients With COVID-19: A Randomized, Double-blind, Placebo-controlled Trial",Recruiting
250,NCT04449562,Interventional,,,A Phase 1 Trial of the p97 Inhibitor CB-5339 in Patients With Advanced Solid Tumors and Lymphomas,A Phase 1 Trial of the p97 Inhibitor CB-5339 in Patients With Advanced Solid Tumors and Lymphomas,Not yet recruiting
251,NCT04449705,Observational [Patient Registry],,,"Quality Assessment of a Multifaceted, Perioperative Infection Control Bundle","Quality Assessment of a Multifaceted, Perioperative Infection Control Bundle",Not yet recruiting
252,NCT04449692,Interventional,,,Low-dose Dasiglucagon for Prevention of Insulin-Induced Hypoglycemia in People With Type 1 Diabetes,Low-dose Dasiglucagon for Prevention of Insulin-Induced Hypoglycemia in People With Type 1 Diabetes,Recruiting
253,NCT04449679,Interventional,,,"Real-Time Monitoring of Chemotherapy Side-Effects in Patients With Gastrointestinal Cancers, RT-CAMSS Study",Real-Time Monitoring of Chemotherapy Side Effects in Patients With Gastro-Intestinal Malignancies,Recruiting
254,NCT04449666,Observational,,,Hippocampal Volume and Memory Functions in Aneurysmal Subarachnoid Hemorrhage,Investigation of the Relationship Between Hippocampal Volume and Memory Functions in in Patients With Aneurysmal Subarachnoid Hemorrhage (aSAH),Recruiting
255,NCT04449653,Observational,OASIS,,Mobile Study to Measure and Predict Lupus Disease Activity Using Digital Signals,Mobile Study to Measure and Predict Lupus Disease Activity Using Digital Signals,Recruiting
256,NCT04449640,Observational,,,Uterine Rupture After Hysteroscopic Septum Resection,Uterine Rupture in Pregnancy After Hysteroscopic Septum Resection: a Twenty-year Retrospective Analysis,Not yet recruiting
257,NCT04449627,Interventional,FeelGood,,Psychological Impact of Admission With Covid-19 During the SARS-CoV-2 Pandemic: Clinical Trial of a Digital Intervention to Improve Wellbeing,Psychological Impact of Admission With Covid-19 During the SARS-CoV-2 Pandemic: Clinical Trial of a Digital Intervention to Improve Wellbeing,Not yet recruiting
258,NCT04449614,Observational,CPAM,,A Review of Surgical Management of Congenital Pulmonary Airway Malformations (CPAM): A Decade of Experience,A Review of Surgical Management of Congenital Pulmonary Airway Malformations (CPAM): A Decade of Experience,Completed
259,NCT04449601,Observational,,,Normotensive and Hypertensive Placental Abruptions,Comparison of Maternal Neonatal Outcomes of Normotensive and Hypertensive Placental Abruptions: A Novel Approach,Completed
260,NCT04449588,Interventional,,,Efficacy and Safety Study of BDB-001 in Severe COVID-19 With ALI/ARDS,"A Multi-center, Open-label, Randomized Parallel Controlled Evaluation on the Efficacy and Safety of BDB-001 Injection in the Treatment of Progressive Severe COVID-19 in Phase II/III",Recruiting
261,NCT04449575,Observational,,,Hand Eczema in the Health Care Sector,Hand Eczema in the Health Care Sector,Not yet recruiting
262,NCT04448002,Interventional,AIM2ACT,,AIM2ACT: A Mobile Health Tool to Help Adolescents Self-Manage Asthma,AIM2ACT: A Mobile Health Tool to Help Adolescents Self-Manage Asthma,Not yet recruiting
263,NCT04449549,Interventional,,,Rapid Analysis and Response Evaluation of Combination Anti-Neoplastic Agents in Rare Tumors (RARE CANCER) Trial: RARE 1 Nilotinib and Paclitaxel,Rapid Analysis and Response Evaluation of Combination Anti-Neoplastic Agents in Rare Tumors (RARE CANCER) Trial: RARE 1 Nilotinib and Paclitaxel,Not yet recruiting
264,NCT04449536,Interventional,CYLOB,,Cysteine-lowering Treatment With Mesna,Cysteine-lowering Treatment With Mesna Against Obesity: Phase I Dose-finding Study,Not yet recruiting
265,NCT04449523,Observational,SILENT2,,Incidence of Silent Atrial Fibrillation in Patients With Clinically Silent Brain Ischemic Lesions,Incidence of Silent Atrial Fibrillation in Patients With Clinically Silent Brain Ischemic Lesions (SILENT2),Not yet recruiting
266,NCT04449510,Interventional,TCORS-2,,Short-Term Cardiovascular Effects of E-Cigarettes: Influence of E-Liquid pH,Short-Term Cardiovascular Effects of E-Cigarettes: Influence of E-Liquid pH,Not yet recruiting
267,NCT04449497,Observational,QODDI,,The 2020 Quality of Death and Dying Index,The 2020 Quality of Death and Dying Index,Not yet recruiting
268,NCT04449484,Interventional,,,Multiple Ascending Dose Study of MEDI1341 in Patients With Parkinson's Disease,"A Randomized, Double-blind, Placebo-controlled Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of MEDI1341 in Subjects With Parkinson's Disease",Not yet recruiting
269,NCT04449471,Interventional,,,"Naproxen Pharmacogenetic Study (Project 1, Aim 2)",Project 1: Program on Genetic and Dietary Predictors of Drug Response in Rural and AI/AN Populations (Naproxen Study),Recruiting
270,NCT04449458,Interventional,,,The Positively Quit Trial for Smoking Cessation,The Positively Quit Trial: Addressing Disproportionate Smoking Rates Among People Living With HIV,Recruiting
271,NCT04449445,Interventional,,,Perioperative Nutritional Optimization in Head and Neck Cancer Patients,Perioperative Nutritional Optimization in Head and Neck Cancer Patients,Suspended
272,NCT04449432,Interventional,,,Goals for Reaching Optimal Wellness: GROWell,Goals for Reaching Optimal Wellness: GROWell,Not yet recruiting
273,NCT04449419,Observational [Patient Registry],,,Mitoquines in COPD,Mitoquines as Prognostic Factors of Exacerbations and Hospital Admission in COPD Patients.,Recruiting
274,NCT04448444,Interventional,,,Brain Activity Changes Following Neuroproprioceptive Physiotherapy in Multiple Sclerosis,Brain Activity Changes Following Neuroproprioceptive Physiotherapy in Multiple Sclerosis,Completed
275,NCT04449406,Observational,UroPanc,,Early Detection of Pancreatic Adenocarcinoma (PDAC) Using a Panel of Biomarkers,Early Detection of Pancreatic Adenocarcinoma (PDAC) Using a Panel of Biomarkers (UroPanc),"Active, not recruiting"
276,NCT04449393,Interventional,,,Enamel Matrix Derivative in Non-surgical Periodontal Treatment,Effect of Enamel Matrix Derivative in the Non-surgical Treatment of Periodontal Maintenance Patients,Not yet recruiting
277,NCT04449380,Interventional,INTERCOP,,Clinical Study for the Treatment With Interferon-ß-1a (IFNß-1a) of COVID-19 Patients,"Randomized, Controlled, Open Label, Phase 2 Clinical Trial of Interferon-β-1a (IFNβ-1a) in COVID-19 Patients",Not yet recruiting
278,NCT04449367,Observational [Patient Registry],SPINE,,ERECTOR SPINAE BLOCK AFTER THORACIC SPINE SURGERY,THE EFFECTIVENESS OF AN ULTRASOUND GUIDED RECTOR SPINAE BLOCK IN PATIENTS UNDERGOING THORACIC SPINE SURGERY,Completed
279,NCT04449354,Interventional,,,HidraWear AX HS Study,A Study to Evaluate the HS Specific Wound Dressing HidraWear AX in the Home Setting,Recruiting
280,NCT04449341,Interventional,,,Can Virtual Reality Reduce Pain and Anxiety During Blood Draw,"Can Virtual Reality Reduce Patient's Pain, Improve Patient's Experience, and Reduce Procedure Related Anxiety With Venipuncture? A Randomized Control Trial",Recruiting
281,NCT04449328,Interventional,OPTIVIBE,,Induced Motion Illusions Through Vision and Tendon Vibrations: Study of Interactions in Hemiplegic Subjects,Induced Motion Illusions Through Vision and Tendon Vibrations: Study of Interactions in Hemiplegic Subjects,Not yet recruiting
282,NCT04449315,Interventional,,,Outpatient Oncology Aromatherapy for Symptom Management,Outpatient Oncology Aromatherapy,Not yet recruiting
283,NCT04449302,Interventional,,,Evaluation of Papilla Index Around Immediate Mandibular Molar Implants Using Customized Healing Abutment Versus Submerged Healing,Clinical Evaluation of Papilla Index Around Immediate Implant Placement in Mandibular Molars Using Chairside Customized Healing Abutment Versus Submerged Healing :A Randomized Controlled Clinical Trial,Not yet recruiting
284,NCT04449289,Interventional,,,Influence of Local Anesthetic Administration on the Cancer Recurrence Rate After Pancreatic Oncologic Surgery,Influence of Local Anesthetic Administration on the Cancer Recurrence Rate After Pancreatic Oncologic Surgery,Not yet recruiting
285,NCT04449276,Interventional,,,"A Study to Evaluate the Safety, Reactogenicity and Immunogenicity of Vaccine CVnCoV in Healthy Adults","A Phase 1, Partially Blind, Placebo-controlled, Dose-escalation, First-in-human, Clinical Trial to Evaluate the Safety, Reactogenicity and Immunogenicity After 1 and 2 Doses of the Investigational SARS-CoV-2 mRNA Vaccine CVnCoV Administered Intramuscularly in Healthy Adults",Recruiting
286,NCT04449263,Interventional,,,Comparing the Performance of 1 Day Multifocal Contact Lenses,Comparing the Performance of 1 Day Multifocal Contact Lenses,Not yet recruiting
287,NCT04449250,Interventional,Fed-Fast,,Fed-Fast Crossover Study to Assess the Effect of Food With CTx-1301,"An Open-label, Randomized, Single-dose, Two-period, Two-treatment (Fed vs Fasted), Two-sequence, Crossover Study in Healthy Adult Subjects to Assess the Effect of Food on the Absorption and Bioavailability of CTx-1301 (Dexmethylphenidate)",Not yet recruiting
288,NCT04433208,Interventional,,,Dietary Supplement With and Without a Probiotic,Dietary Study of a Complex Oligosaccharide With and Without a Probiotic in Healthy Volunteers,Recruiting
289,NCT04449237,Interventional,EEG-RCT,,Mechanism Research of Tinnitus Based on Electroencephalogram and Acoustic Therapy Intervention,The Mechanism Research of Tinnitus Based on Electroencephalogram and Acoustic Therapy Intervention,Not yet recruiting
290,NCT04449224,Observational [Patient Registry],,,Comparative Effectiveness of Targeted Therapy in RA Patients,Comparative Effectiveness of Biologic Disease-modifying Antirheumatic Drugs and Small Molecular Inhibitors in Patients With Moderate to Severe RA: Prospective Observational Study,Recruiting
291,NCT04449211,Interventional,,,The Effectiveness in the Treatment of Long Bone Defect Using 3D-printed Implant,The Effectiveness in the Treatment of Long Bone Defect in Adults Using 3D-printed Titanium Alloy Implant,Recruiting
292,NCT04449198,Interventional,T-St1M,,"Type 1 Diabetes, Endothelin, and Skeletal Muscle Mitochondrial Dysfunction: The Role of Sirtuin-1","Type 1 Diabetes, Endothelin, and Skeletal Muscle Mitochondrial Dysfunction: The Role of Sirtuin-1",Not yet recruiting
293,NCT04449185,Interventional,,,Change of Gut Microbiome and Symptom After H.Pylori Eradication Therapy in Patients With Functional Dyspepsia,Change of Gut Microbiome and Symptom After H.Pylori Eradication Therapy in Patients With Functional Dyspepsia,Not yet recruiting
294,NCT04449172,Observational,SCOPE-PLUS,,ProtocoL for GFR Measurement Using Iohexol (SCOPE-PLUS) - A Substudy of the SCOPE Study,ProtocoL for GFR Measurement Using Iohexol (SCOPE-PLUS) - A Substudy of the SCOPE Study,Recruiting
295,NCT04449159,Interventional,,,Efficacy of Vinh Wellness Collagen on Skin Health,"A Randomized, Double-blind, Placebo-controlled, Parallel Study to Evaluate the Efficacy of Vinh Wellness Collagen on Skin Elasticity, Wrinkles, and Moisturizing Effect",Completed
296,NCT04449146,Interventional,3S,,Scapular Positioning in Standing Position Using Sonography,Scapular Positioning in Standing Position Using Sonography,Not yet recruiting
297,NCT04449133,Interventional,,,Study of AD128 Versus Placebo in Obstructive Sleep Apnea,"Crossover, Double-blind, Phase 2 Study of AD128 Versus Placebo in Obstructive Sleep Apnea",Not yet recruiting
298,NCT04449120,Interventional,SUKALMENA,,HOME COOKING: Health Empowerment Strategy in People With Type II Diabetes Mellitus,HOME COOKING: Health Empowerment Strategy in People With Type II Diabetes Mellitus (SUKALMENA),Recruiting
299,NCT04449107,Interventional,,,Evaluate the Role of a Personalized Smartphone Based Application to Improve Childhood Immunization Coverage,To Evaluate the Role of a Personalized Smartphone-based Application to Improve Childhood Immunization Coverage and Timelines Among Children in Pakistan,"Active, not recruiting"
300,NCT04449094,Observational,,,Emergence of the COVID 19 Epidemic in the City of Nice,Socio-demographic Factors and Emergence of the COVID 19 Epidemic in the City of Nice in 2020,Completed
301,NCT04449081,Observational,,,"Knowledge, Attitude and Practice of Dental Students About COVID-19","Knowledge, Attitude and Practice About COVID-19 and Awareness of Infection Control to Prevent COVID-19 Transmission in Clinics and Perception About Online Learning During Lock Down Period: A Cross-sectional Study",Completed
302,NCT04449068,Observational,POSTSTIC,,Observational Database on Deep Brain Stimulation in Tourette Syndrome,Pre et Post-operative Evaluation of Patients With Tourette Syndrome Treated With High Frequency Bilateral Stimulation of the Anterior Part of the Internal Pallid Globus,Not yet recruiting
303,NCT04449055,Interventional,,,Pilot TMS for Methamphetamine Use Disorder,A Pilot Study of Transcranial Magnetic Stimulation for Treatment of Methamphetamine Use Disorders,Not yet recruiting
304,NCT04449042,Observational [Patient Registry],,,The PAWS-COVID-19 (Pediatric AirWay complicationS COVID-19) Registry,"Pediatric Airway Management Complications During the COVID-19 Pandemic. An International, Multicenter, Observational Registry: The PAWS-COVID-19 (Pediatric AirWay complicationS COVID-19) Registry",Recruiting
305,NCT04449029,Interventional,B-Clear,,A Study of GSK3228836 in Participants With Chronic Hepatitis B (CHB),"Phase IIb Multi-Center, Randomised, Partial-Blind Parallel Cohort Study to Assess the Efficacy and Safety of Treatment With GSK3228836 in Participants With Chronic Hepatitis B Virus (B-Clear)",Not yet recruiting
306,NCT04449016,Interventional,,,Effect of Ethnicity on Changes in VO2max and Cardiac Output in Response to Short-Term High Intensity Interval Training,Effect of Ethnicity on Changes in VO2max and Cardiac Output in Response to Short-Term High Intensity Interval Training,Completed
307,NCT04449003,Observational,InSPSCTS,,Influence of Stress and Psychiatric Symptoms on Children With Tourette Syndrome,Influence of Stress and Psychiatric Symptoms on Children With Tourette Syndrome,Not yet recruiting
308,NCT04448990,Interventional,TVNS_TSP,,Antinociceptive Effect of Transauricular Electrical Vagal Nerve Stimulation,Antinociceptive Effect of Transauricular Electrical Vagal Nerve Stimulation and Its Underlying Mechanisms,Not yet recruiting
309,NCT04448977,Observational,,,Examining Effects of Ocrevus on Cognitive Fatigue Using fMRI,A Biomarker for Cognitive Fatigue Using Functional Imaging in MS,Not yet recruiting
310,NCT04448964,Interventional,,,A Study of JNJ-70033093 in Healthy Participants,"A Randomized, Open-Label, 3-way Cross-over (Part 1) and 2-way Cross-over (Part 2) Study in Healthy Participants to Evaluate the Relative Bioavailability and the Food Effect of an Oral Tablet Formulation Relative to a Capsule Formulation of JNJ-70033093",Not yet recruiting
311,NCT04448951,Observational [Patient Registry],IMHOTEP,,Immune Homeostasis in Sepsis and Septic Shock,Immune Homeostasis in Patients With Sepsis and Septic Shock: a Single Center Observational Study,Recruiting
312,NCT04448938,Observational,RESONANCE,,RESting-state Functional MRI in Patients With Optic Neuritis for ANticipation of reCovEry,RESting-state Functional MRI in Patients With Optic Neuritis for ANticipation of reCovEry,Not yet recruiting
313,NCT04448925,Interventional,,,Physiological Responses to Maximal 4-s Sprint Interval Cycling,Physiological Responses to Maximal 4-s Sprint Interval Cycling Using Inertial Loading: the Influence of Inter-sprint Recovery Duration,Completed
314,NCT04448912,Observational,,,Meta-Analysis on Damage Control Surgery in Patients With Non-Traumatic Abdominal Emergencies,Damage-Control Surgery in Patients With Non-traumatic Abdominal Emergencies: A Systematic Review and Meta-Analysis,Completed
315,NCT04448899,Interventional,,,Ivabradine in Patients With Congestive Heart Failure,Effects of Ivabradine on Neopterin and NT-Pro BNP in Patients With Congestive Heart Failure,"Active, not recruiting"
316,NCT04448886,Interventional,,,Sacituzumab Govitecan Vs Pembrolizumab In HR+ / HER2 - MBC,Randomized Phase II Study of Sacituzumab Govitecan With or Without Pembrolizumab in Hormone Receptor-positive (HR+) / HER2- Metastatic Breast Cancer (MBC),Not yet recruiting
317,NCT04448873,Interventional,,,Guided Discontinuation Versus Maintenance Treatment of Sirolimus in Pediatric Patients With Kaposiform Hemangioendothelioma,Guided Discontinuation Versus Maintenance Treatment of Sirolimus in Pediatric Patients With Kaposiform Hemangioendothelioma: a Randomized Controlled Trial,Not yet recruiting
318,NCT04448860,Interventional,PROST,,Validation of Standardized Test Protocols to Assess the Impact of Visual Pathologies in Daily Life Activities,Validation of Standardized Test Protocols to Assess the Impact of Visual Pathologies in Daily Life Activities,Recruiting
319,NCT04448847,Interventional,PIP-M,,Mapping the MoA Behind GI Protection From Bif195,"Discovering the Mechanisms of Action for the In-vivo Protection of Aspirin-induced Enteropathy by Bifidobacterium Breve Bif195 in Man - a Randomised, Double-blinded, Placebo-controlled, Cross-over Trial in Healthy Volunteers",Recruiting
320,NCT04448834,Interventional,,,Blincyto Amgen Acrotech BioPharma PH2 Blincyto Marqibo R/R Philadelphi CD19+ ALL,"A Phase 2 Single Arm, Multicenter Trial to Evaluate the Efficacy of the BiTE® Antibody Blinatumomab (Blincyto) and Vincristine Sulfate Liposomal Injection (Marqibo) in Adult Subjects With Relapsed/Refractory Philadelphia Negative CD19+ Acute Lymphoblastic Leukemia",Not yet recruiting
321,NCT04448821,Interventional,,,A Clinical Trial to Evaluate the Effect of Nilotinib on the PK/PD of Meformin,A Clinical Trial to Evaluate the Effect of Nilotinib on the Pharmacokinetics and Pharmacodynamics of Metformin in Healthy Male Adults,Recruiting
322,NCT04448808,Interventional,,,Treating Nightmares in Posttraumatic Stress Disorder With Dronabinol,Treating Nightmares in Posttraumatic Stress Disorder With Dronabinol: A Randomized Controlled Study (THC PTSD-trial),Not yet recruiting
323,NCT04448795,Observational,,,Impact of Highest Drain Fluid Amylase Levels on Surgical Outcomes and Postoperative Interventions in Patients Undergoing Pancreaticoduodenectomy,Significance of Drain Amylase Levels After Pancreaticoduodenectomy,Completed
324,NCT04448782,Observational,,,Characterization of Reverse Triggering and Other Asynchronies in COVID-19 Patients Under Invasive Mechanical Ventilation,Characterization of Reverse Triggering and Other Asynchronies in COVID-19 Patients Under Invasive Mechanical Ventilation,Recruiting
325,NCT04448769,Interventional,COVAL-NANCY,,Epidemiological Study of Seroprevalence Against the SARS-CoV-2 Virus (COVID-19),Epidemiological Study of Seroprevalence Against the SARS-CoV-2 Virus (COVID-19) in the Population of the Grand Nancy Metropolitan Area,Not yet recruiting
326,NCT04448756,Interventional,ANEMONE,,M5049 Study in Participants With Coronavirus Disease 2019 (COVID-19) Pneumonia,"A Phase II, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of M5049 in Hospitalized Participants With COVID-19 Pneumonia",Not yet recruiting
327,NCT04448743,Observational,MICO,,Role of Microparticles in Covid-19 Infection,Role of Circulating Microparticles in Covid-19 Infection,Not yet recruiting
328,NCT04448730,Observational,,,Polycystic Ovary Syndrome and BETATROPHIN,Can the Betatrophin be a Reliable Marker of Insulin Resistance in Normal Weight and Overweight Women With Polycystic Ovary Syndrome?,Completed
329,NCT04448717,Observational,CiaoCorona,,Longitudinal Study of Seroprevalence of SARS-CoV-2 Antibodies and Development of Immunity in School Children,Seroprevalence of SARS-CoV-2 Antibodies and Development of Immunity in a Public School Population - a Population-based Observational Study to Inform Policy Making,Recruiting
330,NCT04448704,Observational,,,Understanding the Mental Health of Migrant Workers During the COVID-19 Outbreak,Understanding the Mental Health of Migrant Workers During the COVID-19 Outbreak,Recruiting
331,NCT04448691,Interventional,SMARTool,,"""SIMULATION MODELING OF CORONARY ARTERY DISEASE: A TOOL FOR CLINICAL DECISION SUPPORT""","""SIMULATION MODELING OF CORONARY ARTERY DISEASE: A TOOL FOR CLINICAL DECISION SUPPORT""",Completed
332,NCT04448678,Interventional,HIAYA CHAT,,Improving Health Insurance Experiences for Adolescent and Young Adult Cancer Patients,Huntsman Intermountain Adolescent and Young Adult Cancer Care Program- Cancer Health Insurance Tool Study,Not yet recruiting
333,NCT04448665,Observational,,,Compliance of Initial Empiric Antimicrobial Therapy,The Empiric Antimicrobial Therapy: the Comparison of Initial Clinical Choice of Drugs With the Results of Microbiological Investigations - an Observational Study,Completed
334,NCT04448652,Observational [Patient Registry],,,Does Omission of NSAIDs After Colorectal Cancer Operation Affect the Consumption of Opioids?,Effects on Omission of NSAIDs on the Consumption of Opioids in the Standard Analgesic Regimen After Elective Laparoscopic Colorectal Cancer Resection in an ERAS Setting. A Retrospective Single-center Cohort Study.,Completed
335,NCT04448639,Observational,STAMI,,Stunning in Takotsubo Versus Acute Myocardial Infarction,STAMI- Stunning in Takotsubo Versus Acute Myocardial Infarction,Recruiting
